emission_source_id,emission_source,emission_type_id,mapping_string
91275121,"Flights - International, to/from non-UK - Premium economy class",8142,"flights - international, to/from non-uk - premium economy class"
91275122,"Flights - Long-haul, to/from UK - Average passenger",8142,"flights - long-haul, to/from uk - average passenger"
91275123,"Flights - Long-haul, to/from UK - Business class",8142,"flights - long-haul, to/from uk - business class"
91275124,"Flights - Long-haul, to/from UK - Economy class",8142,"flights - long-haul, to/from uk - economy class"
91275125,"Flights - Long-haul, to/from UK - First class",8142,"flights - long-haul, to/from uk - first class"
91275126,"Flights - Long-haul, to/from UK - Premium economy class",8142,"flights - long-haul, to/from uk - premium economy class"
91275127,"Flights - Short-haul, to/from UK - Average passenger",8142,"flights - short-haul, to/from uk - average passenger"
91275128,"Flights - Short-haul, to/from UK - Business class",8142,"flights - short-haul, to/from uk - business class"
91275129,"Flights - Short-haul, to/from UK - Economy class",8142,"flights - short-haul, to/from uk - economy class"
91275130,International rail,8142,international rail
91275131,Light rail and tram,8142,light rail and tram
91275132,Local bus (not London),8142,local bus (not london)
91275133,Local London bus,8142,local london bus
91275134,London Underground,8142,london underground
91275135,National rail,8142,national rail
91275136,Regular taxi,8142,regular taxi
91275137,Business Travel Van - Average (up to 3.5 tonnes) - Battery Electric Vehicle,8143,business travel van - average (up to 3.5 tonnes) - battery electric vehicle
91275138,Business Travel Van - Class I (up to 1.305 tonnes) - Battery Electric Vehicle,8143,business travel van - class i (up to 1.305 tonnes) - battery electric vehicle
91275139,Business Travel Van - Class II (1.305 to 1.74 tonnes) - Battery Electric Vehicle,8143,business travel van - class ii (1.305 to 1.74 tonnes) - battery electric vehicle
91275140,Business Travel Van - Class III (1.74 to 3.5 tonnes) - Battery Electric Vehicle,8143,business travel van - class iii (1.74 to 3.5 tonnes) - battery electric vehicle
91275141,Fleet Van - Average (up to 3.5 tonnes) - Battery Electric Vehicle,8143,fleet van - average (up to 3.5 tonnes) - battery electric vehicle
91275142,Fleet Van - Class I (up to 1.305 tonnes) - Battery Electric Vehicle,8143,fleet van - class i (up to 1.305 tonnes) - battery electric vehicle
91275143,Fleet Van - Class II (1.305 to 1.74 tonnes) - Battery Electric Vehicle,8143,fleet van - class ii (1.305 to 1.74 tonnes) - battery electric vehicle
91275144,Fleet Van - Class III (1.74 to 3.5 tonnes) - Battery Electric Vehicle,8143,fleet van - class iii (1.74 to 3.5 tonnes) - battery electric vehicle
91275145,HGV (all diesel) - All Artics - Average laden,8143,hgv (all diesel) - all artics - average laden
91275146,HGV (all diesel) - All Heavy Goods Vehicles - Average laden,8143,hgv (all diesel) - all hgvs - average laden
91275147,HGV (all diesel) - All Rigids - Average laden,8143,hgv (all diesel) - all rigids - average laden
91275148,HGV refrigerated (all diesel) - All Artics - Average laden,8143,hgvs refrigerated (all diesel) - all artics - average laden
91275149,HGV refrigerated (all diesel) - All Heavy Goods Vehicles - Average laden,8143,hgvs refrigerated (all diesel) - all hgvs - average laden
91275150,HGV refrigerated (all diesel) - All Rigids - Average laden,8143,hgvs refrigerated (all diesel) - all rigids - average laden
91275151,Vans - Average (up to 3.5 tonnes) - Diesel,8143,vans - average (up to 3.5 tonnes) - diesel
91275152,Vans - Average (up to 3.5 tonnes) - Petrol,8143,vans - average (up to 3.5 tonnes) - petrol
91275153,Vans - Average (up to 3.5 tonnes) - Unknown,8143,vans - average (up to 3.5 tonnes) - unknown
91275154,Vans - Class I (up to 1.305 tonnes) - Diesel,8143,vans - class i (up to 1.305 tonnes) - diesel
91275155,Vans - Class I (up to 1.305 tonnes) - Petrol,8143,vans - class i (up to 1.305 tonnes) - petrol
91275156,Vans - Class II (1.305 to 1.74 tonnes) - Diesel,8143,vans - class ii (1.305 to 1.74 tonnes) - diesel
91275157,Vans - Class II (1.305 to 1.74 tonnes) - Petrol,8143,vans - class ii (1.305 to 1.74 tonnes) - petrol
91275158,Vans - Class III (1.74 to 3.5 tonnes) - Diesel,8143,vans - class iii (1.74 to 3.5 tonnes) - diesel
91275159,Vans - Class III (1.74 to 3.5 tonnes) - Petrol,8143,vans - class iii (1.74 to 3.5 tonnes) - petrol
91275160,Aggregates - Landfill,8140,aggregates - landfill
91275161,Aggregates - Recycled,8140,aggregates - recycled
91275162,Asbestos - Landfill,8140,asbestos - landfill
91275163,Asphalt - Landfill,8140,asphalt - landfill
91275164,Asphalt - Recycled,8140,asphalt - recycled
91275165,Average construction - Combustion,8140,average construction - combustion
91275166,Average construction - Recycled,8140,average construction - recycled
91275167,Batteries - Landfill,8140,batteries - landfill
91275168,Books - Combustion,8140,books - combustion
91275169,Books - Landfill,8140,books - landfill
91275170,Books - Recycled,8140,books - recycled
91275171,Bricks - Landfill,8140,bricks - landfill
91275172,Clinical Waste - Orange Stream,8140,clinical waste - orange stream
91275173,Clinical Waste - Other,8140,clinical waste - other
91275174,Clinical Waste - Red Stream,8140,clinical waste - red stream
91275175,Clinical Waste - Yellow Stream,8140,clinical waste - yellow stream
91275176,Clothing - Combustion,8140,clothing - combustion
91275177,Clothing - Landfill,8140,clothing - landfill
91275178,Clothing - Recycled,8140,clothing - recycled
91275179,Commercial and industrial waste - Combustion,8140,commercial and industrial waste - combustion
91275180,Commercial and industrial waste - Landfill,8140,commercial and industrial waste - landfill
91275181,Concrete - Landfill,8140,concrete - landfill
91275182,Concrete - Recycled,8140,concrete - recycled
91275183,Glass - Combustion,8140,glass - combustion
91275184,Glass - Landfill,8140,glass - landfill
91275185,Glass - Recycled,8140,glass - recycled
91275186,Household/Municipal/Domestic waste - Combustion,8140,household/municipal/domestic waste - combustion
91275187,Household/Municipal/Domestic waste - Landfill,8140,household/municipal/domestic waste - landfill
91275188,Insulation - Landfill,8140,insulation - landfill
91275189,Insulation - Recycled,8140,insulation - recycled
91275190,Metal: aluminium cans and foil (excluding forming) - Combustion,8140,metal: aluminium cans and foil (excl. forming) - combustion
91275191,Metal: aluminium cans and foil (excluding forming) - Landfill,8140,metal: aluminium cans and foil (excl. forming) - landfill
91275192,Metal: aluminium cans and foil (excluding forming) - Recycled,8140,metal: aluminium cans and foil (excl. forming) - recycled
91275193,Metal: mixed cans - Combustion,8140,metal: mixed cans - combustion
91275194,Metal: mixed cans - Landfill,8140,metal: mixed cans - landfill
91275195,Metal: mixed cans - Recycled,8140,metal: mixed cans - recycled
91275196,Metal: scrap metal - Combustion,8140,metal: scrap metal - combustion
91275197,Metal: scrap metal - Landfill,8140,metal: scrap metal - landfill
91275198,Metal: scrap metal - Recycled,8140,metal: scrap metal - recycled
91275199,Metal: steel cans - Combustion,8140,metal: steel cans - combustion
91275200,Metal: steel cans - Landfill,8140,metal: steel cans - landfill
91275201,Metal: steel cans - Recycled,8140,metal: steel cans - recycled
91275202,Metals - Landfill,8140,metals - landfill
91275203,Metals - Recycled,8140,metals - recycled
91275204,Mineral oil - Combustion,8140,mineral oil - combustion
91275205,Mineral oil - Recycled,8140,mineral oil - recycled
91275206,Organic: food and drink waste - Anaerobic digestion,8140,organic: food and drink waste - anaerobic digestion
91275207,Organic: food and drink waste - Combustion,8140,organic: food and drink waste - combustion
91275208,Organic: food and drink waste - Composting,8140,organic: food and drink waste - composting
91275209,Organic: food and drink waste - Landfill,8140,organic: food and drink waste - landfill
91275210,Organic: garden waste - Anaerobic digestion,8140,organic: garden waste - anaerobic digestion
91275211,Organic: garden waste - Combustion,8140,organic: garden waste - combustion
91275212,Organic: garden waste - Composting,8140,organic: garden waste - composting
91275213,Organic: garden waste - Landfill,8140,organic: garden waste - landfill
91275214,Organic: mixed food and garden waste - Anaerobic digestion,8140,organic: mixed food and garden waste - anaerobic digestion
91275215,Organic: mixed food and garden waste - Combustion,8140,organic: mixed food and garden waste - combustion
91275216,Organic: mixed food and garden waste - Composting,8140,organic: mixed food and garden waste - composting
91275217,Organic: mixed food and garden waste - Landfill,8140,organic: mixed food and garden waste - landfill
91275218,Paper and board: board - Combustion,8140,paper and board: board - combustion
91275219,Paper and board: board - Composting,8140,paper and board: board - composting
91275220,Paper and board: board - Landfill,8140,paper and board: board - landfill
91275221,Paper and board: board - Recycled,8140,paper and board: board - recycled
91275222,Paper and board: mixed - Combustion,8140,paper and board: mixed - combustion
91275223,Paper and board: mixed - Composting,8140,paper and board: mixed - composting
91275224,Paper and board: mixed - Landfill,8140,paper and board: mixed - landfill
91275225,Paper and board: mixed - Recycled,8140,paper and board: mixed - recycled
91275226,Paper and board: paper - Combustion,8140,paper and board: paper - combustion
